light1,medium1,heavy,closed,medium2,light2,normal
73,80,85,95,138,148,158
73,80,85,95,138,148,158
66,72,79,91,133,142,150
68,76,84,95,133,142,150
77,85,92,102,152,169,177
67,74,81,87,134,143,151
37,52,65,90,94,103,110
67,71,78,90,128,133,136
69,74,76,86,130,134,137
70,75,78,86,132,135,139
78,88,92,105,128,135,142
78,80,86,122,158,167,173
82,91,95,101,125,132,138
55,65,71,88,127,137,141
61,68,74,93,126,133,143
62,68,76,88,125,134,141
62,67,75,86,134,143,147
54,61,70,80,127,135,142
56,66,73,82,128,138,158
60,65,71,80,129,140,147
70,78,85,89,130,134,139
72,81,86,87,127,132,137
74,80,85,90,129,134,139
69,76,81,85,129,133,138
70,78,81,82,130,135,139
64,71,75,78,129,135,141
62,67,72,79,129,132,134
65,70,74,81,127,130,133
61,66,72,76,130,133,136
63,68,73,77,127,131,134
68,72,77,81,126,130,135
64,67,72,77,124,128,135
57,63,71,76,128,133,138
53,57,64,72,126,133,138
57,62,67,73,127,131,137
62,67,72,78,129,137,143
59,64,71,75,126,132,137
62,67,73,77,127,135,139
79,88,92,92,124,132,134
71,78,81,81,125,131,141
78,86,88,88,125,131,142
78,86,88,88,122,130,138
74,84,87,87,125,132,143
77,85,87,87,123,131,141
59,68,76,79,136,143,152
52,57,64,78,133,144,153
58,64,71,86,133,143,152
58,63,73,83,134,142,149
61,68,78,89,133,144,151
57,62,69,76,132,141,149
70,71,76,82,129,132,135
72,75,77,87,127,133,137
70,71,77,82,128,132,138
71,73,77,84,127,131,137
59,63,70,73,131,134,142
70,75,79,85,128,133,141
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
